order_date,order_time,pizza_category,pizza_size,pizza_name,quantity,unit_price,total_price
2024-01-05,11:23:00,Classic,M,Margherita,2,12.99,25.98
2024-01-05,12:45:00,Supreme,L,Meat Lovers,1,16.99,16.99
2024-01-06,13:10:00,Chicken,M,BBQ Chicken,3,12.99,38.97
2024-01-07,18:30:00,Veggie,S,Garden Delight,2,8.99,17.98
2024-01-08,19:15:00,Classic,L,Pepperoni,1,16.99,16.99
2024-01-10,20:05:00,Supreme,M,Hawaiian,2,12.99,25.98
2024-01-12,21:00:00,Chicken,XL,Tandoori,1,21.99,21.99
2024-01-14,14:30:00,Veggie,M,Mushroom,2,12.99,25.98
2024-01-15,17:45:00,Classic,S,Margherita,1,8.99,8.99
2024-01-18,19:20:00,Supreme,L,Meat Lovers,2,16.99,33.98
2024-01-20,20:00:00,Chicken,M,BBQ Chicken,1,12.99,12.99
2024-01-22,12:30:00,Classic,XL,Pepperoni,1,21.99,21.99
2024-01-25,18:50:00,Veggie,L,Garden Delight,2,16.99,33.98
2024-01-28,21:15:00,Supreme,S,Hawaiian,3,8.99,26.97
2024-01-30,19:40:00,Chicken,M,Tandoori,2,12.99,25.98
2024-02-02,12:00:00,Classic,M,Margherita,1,12.99,12.99
2024-02-04,13:30:00,Supreme,L,Meat Lovers,2,16.99,33.98
2024-02-06,18:45:00,Chicken,S,BBQ Chicken,3,8.99,26.97
2024-02-08,20:00:00,Veggie,M,Mushroom,1,12.99,12.99
2024-02-10,14:15:00,Classic,L,Pepperoni,2,16.99,33.98
2024-02-12,19:30:00,Supreme,XL,Hawaiian,1,21.99,21.99
2024-02-14,20:45:00,Chicken,M,Tandoori,3,12.99,38.97
2024-02-16,12:20:00,Veggie,S,Garden Delight,2,8.99,17.98
2024-02-18,17:00:00,Classic,M,Margherita,1,12.99,12.99
2024-02-20,19:10:00,Supreme,L,Meat Lovers,1,16.99,16.99
2024-02-22,21:30:00,Chicken,M,BBQ Chicken,2,12.99,25.98
2024-02-25,13:45:00,Veggie,L,Mushroom,1,16.99,16.99
2024-02-28,18:20:00,Classic,XL,Pepperoni,2,21.99,43.98
2024-03-01,11:30:00,Supreme,M,Hawaiian,3,12.99,38.97
